SAMPLE,1189.48879-M/Z,1190.49607-M/Z,1296.68481-M/Z,1761.78747-M/Z,324.92669-M/Z,397.50357-M/Z,432.89982-M/Z,441.20236-M/Z,587.93404-M/Z,595.75169-M/Z,648.84607-M/Z,881.39739-M/Z
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p5_ug_ul,190216.58,248563.56,0.0,190783.89,0.0,0.0,599320.3,0.0,178885.22,1588757.2,733539.4,1471706.2
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_1_ug_ul,150278.55,434024.38,166760.47,681602.94,0.0,0.0,645129.9,0.0,250563.08,2026696.1,912335.9,1909916.9
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0078_ug_ul,44838.887,27352.654,38678.89,9341.58,0.0,0.0,0.0,198506.48,20336.023,136829.83,1076624.4,118590.56
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0156_ug_ul,117730.51,405769.84,127481.58,288554.22,0.0,0.0,2260551.0,283116.03,336319.25,4008082.2,1563183.4,1977458.2
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0312_ug_ul,77561.57,100578.87,134270.08,49417.27,0.0,0.0,818785.94,198954.92,117374.99,339681.25,1026738.8,432096.03
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0625_ug_ul,88185.49,95213.27,80964.12,74690.3,0.0,19875.531,768745.75,251367.22,49494.63,438407.34,970135.6,386594.7
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p125_ug_ul,78303.086,70266.87,97758.75,97822.36,0.0,0.0,718854.8,713095.25,47402.047,737376.9,849869.4,619652.7
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p25_ug_ul,93131.26,351989.8,50181.523,0.0,0.0,0.0,887567.7,0.0,124649.83,1085145.4,1011584.94,998414.7
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p5_ug_ul,202271.16,245068.14,422302.28,525117.9,0.0,0.0,450407.8,0.0,145846.56,1404949.2,635247.94,1392097.9
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_1_ug_ul,90806.36,31899.322,38006.863,31085.89,0.0,0.0,626935.44,0.0,41915.8,98267.734,743654.2,214340.45
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0078_ug_ul,45507.31,50713.344,46463.715,20273.215,0.0,0.0,623005.5,0.0,0.0,823862.06,681706.75,565603.2
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0156_ug_ul,25955.15,58652.895,84093.375,42139.91,0.0,0.0,613499.44,300234.25,0.0,62988.37,751815.56,95151.43
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0312_ug_ul,111227.05,75480.7,55693.613,49776.723,0.0,0.0,2714394.0,224578.27,166194.2,69804.15,1589504.9,113857.805
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0625_ug_ul,36466.977,112622.91,21954.805,16297.806,13469.1455,0.0,265856.03,211583.39,0.0,0.0,816248.1,44722.086
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p25_ug_ul,30812.803,59336.88,97964.5,95195.32,0.0,0.0,717007.4,0.0,84967.41,0.0,885264.56,63311.875
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p5_ug_ul,34427.098,37112.38,58728.14,25964.742,0.0,0.0,591848.75,0.0,23736.775,69371.586,1096625.9,101397.266
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_1_ug_ul,26108.867,34941.15,57826.02,39391.06,22126.49,23574.78,1212476.4,0.0,0.0,42399.133,965117.25,30864.627
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p0078_ug_ul,57127.082,139887.53,69819.984,25942.436,0.0,0.0,749632.75,156789.67,93841.11,757356.1,1078412.0,503577.72
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p0156_ug_ul,0.0,136541.83,49426.83,125137.17,10711.717,0.0,741720.4,134756.1,127722.375,696280.44,1250495.8,660695.56
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p0312_ug_ul,60810.582,78582.95,34477.2,46489.387,0.0,0.0,610261.5,201459.6,15699.712,100738.09,837762.6,63329.824
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p0625_ug_ul,50329.34,51140.363,38060.035,20038.05,0.0,14372.679,399061.38,95506.99,0.0,72643.55,417787.66,75887.85
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p125_ug_ul,0.0,16292.583,356500.16,27209.613,0.0,0.0,513441.66,277576.0,46327.3,37253.56,1139664.1,73171.46
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p25_ug_ul,43236.805,33646.02,46016.08,67671.54,0.0,0.0,720334.94,0.0,40145.324,54949.984,1074066.2,46315.367
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p5_ug_ul,56911.414,46624.133,36107.785,40746.055,0.0,0.0,709263.1,0.0,51544.14,0.0,840196.6,81327.69
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_1_ug_ul,74203.71,19614.54,55293.176,24989.062,0.0,0.0,683581.25,0.0,0.0,81423.68,710666.75,156858.39
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0078_ug_ul,73957.33,28127.129,72472.57,7340.46,54450.094,0.0,373288.03,87414.78,63081.586,42733.164,701394.7,43102.33
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0156_ug_ul,38316.098,40305.92,22823.086,19910.418,0.0,0.0,237386.81,78256.46,0.0,49187.086,232986.98,53328.777
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0312_ug_ul,128936.38,67754.01,37259.22,36615.953,0.0,0.0,2355478.8,515292.9,0.0,111225.63,719614.3,440390.9
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0625_ug_ul,49956.13,33018.066,64428.566,23204.568,0.0,0.0,770056.4,286440.1,0.0,0.0,767577.2,26395.441
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p125_ug_ul,77212.945,93799.84,93902.336,56915.785,0.0,20444.562,360661.12,0.0,0.0,13867.345,987723.1,53897.41
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p25_ug_ul,46245.91,47230.777,64289.727,59612.85,0.0,0.0,823029.25,0.0,0.0,0.0,1075798.2,48614.402
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p5_ug_ul,32024.902,30963.904,36848.348,23463.924,0.0,0.0,568314.6,0.0,0.0,51733.23,721122.25,0.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_BLANK_1_rerun,71370.81,84279.22,64897.85,38449.496,0.0,0.0,991096.0,0.0,37700.29,0.0,1068374.0,31295.393
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_BLANK_2,21484.873,20178.412,67104.35,152785.97,0.0,0.0,607033.94,0.0,45933.75,84601.83,1181371.6,95633.4
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_BLANK_3,72383.11,93711.71,0.0,0.0,0.0,0.0,1728177.5,0.0,25980.854,0.0,736990.06,193003.56
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,0.0,0.0,378633.47,406773.7,0.0,0.0,7408669.5,0.0,3071025.8,345276.12,5641362.5,36835680.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p0078_ug_ul,81888.87,0.0,189206.95,0.0,0.0,0.0,11540195.0,0.0,35142.19,0.0,3921144.2,104949.27
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p0156_ug_ul,0.0,0.0,329282.72,0.0,0.0,0.0,6769064.5,12772.164,46761.492,38529.297,6113929.0,374115.53
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p0312_ug_ul,0.0,0.0,0.0,0.0,0.0,0.0,151504.77,21589.549,117351.23,26412.127,216530.72,780871.7
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p0625_ug_ul,0.0,110175.484,157116.66,49472.035,0.0,0.0,3134641.2,1516.986,682024.8,117298.41,3634013.5,5855918.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p125_ug_ul,0.0,0.0,213756.64,0.0,0.0,0.0,3310210.5,5937.908,153865.9,3197.8315,3084462.8,1593158.6
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p25_ug_ul,59292.047,146311.55,557621.3,400598.53,0.0,0.0,10316276.0,2997.0557,4385688.5,1097027.5,7668590.0,45712756.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p5_ug_ul,72143.875,101794.24,545295.9,276447.06,0.0,0.0,4303485.5,3800.5247,3337820.0,235292.48,4779797.0,34660736.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_1_ug_ul,122937.414,0.0,184551.56,240811.2,0.0,0.0,3781151.8,0.0,1405312.2,199089.08,3568505.2,21536826.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p0078_ug_ul,0.0,0.0,460735.75,0.0,0.0,0.0,4478427.0,12411.404,30761.236,0.0,7077139.5,537105.94
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p0156_ug_ul,0.0,0.0,148516.16,0.0,109848.08,0.0,3729224.0,36995.15,88302.805,17344.252,4988920.0,589315.8
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p0312_ug_ul,0.0,0.0,398774.75,69271.69,0.0,0.0,6468357.0,0.0,148460.95,36517.81,6460595.5,1516662.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p0625_ug_ul,38162.46,0.0,111029.13,0.0,0.0,0.0,2882969.0,0.0,250594.25,34297.69,2816409.5,2119058.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p125_ug_ul,62705.914,0.0,151235.6,151466.64,0.0,0.0,3499692.5,0.0,710266.94,100286.02,4056001.8,6086428.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p25_ug_ul,0.0,71698.83,350054.03,224273.89,0.0,0.0,14552551.0,105500.36,1595703.5,122403.66,6877985.0,16003002.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p5_ug_ul,0.0,65744.5,194137.53,290479.53,14136.0625,0.0,5968931.0,17968.69,1893496.4,199301.2,4420965.0,19759898.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_1_ug_ul,212492.97,131066.805,462619.1,498693.22,0.0,0.0,8074291.0,0.0,2226714.8,270607.25,4029290.5,24072626.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p0078_ug_ul,42577.74,0.0,304143.5,0.0,0.0,0.0,7618976.5,18630.588,1525859.4,169614.8,7832404.0,19912650.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p0156_ug_ul,0.0,0.0,1424641.1,0.0,41942.1,0.0,11365003.0,0.0,133036.42,20602.771,7054346.0,1257693.2
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p0312_ug_ul,0.0,0.0,1258613.6,128692.875,35546.23,0.0,7410560.0,0.0,483969.25,49996.24,9618829.0,4756062.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p0625_ug_ul,43285.918,0.0,793020.1,40278.05,0.0,0.0,23214422.0,67253.76,257958.98,52125.27,9272060.0,2937659.8
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p125_ug_ul,0.0,0.0,254279.33,113991.95,0.0,0.0,11831352.0,0.0,508209.84,126591.2,6070111.0,6662500.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p25_ug_ul,0.0,0.0,240558.81,181988.7,0.0,0.0,6164418.0,0.0,1278409.1,248651.28,5401394.0,13115521.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p5_ug_ul,85492.61,100735.42,239526.48,224495.7,0.0,0.0,13324506.0,0.0,1774450.0,338607.3,4550750.5,27216716.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_1_ug_ul,0.0,882467.4,552559.8,304841.84,0.0,0.0,6375209.0,0.0,1446569.2,5635380.0,5497773.5,18344140.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p0078_ug_ul,0.0,38326.008,189581.38,0.0,10904.458,0.0,2432158.5,0.0,19047.541,190162.58,5777571.5,94591.625
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p0156_ug_ul,0.0,35900.32,54151.906,0.0,11079.027,0.0,1492926.6,0.0,58280.246,342737.62,1994722.1,458465.75
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p0312_ug_ul,0.0,69457.266,115528.99,0.0,21935.758,0.0,5343588.0,0.0,73554.06,603342.5,4887974.0,688084.4
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p0625_ug_ul,0.0,116726.68,87200.8,67916.03,0.0,0.0,3360490.8,0.0,114641.95,1181000.1,3472624.8,891759.6
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p125_ug_ul,81964.75,157114.05,111498.28,72403.53,0.0,0.0,3308553.2,0.0,228451.1,2131161.2,3655789.8,1945767.6
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p25_ug_ul_rerun,58819.67,667967.06,240916.94,84231.445,0.0,0.0,5565876.0,0.0,408644.84,5351855.0,5385372.0,5665199.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p5_ug_ul,122188.16,1985000.0,380645.16,1141340.0,0.0,0.0,8673328.0,50360.8,864931.8,9994052.0,5062895.5,10800069.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_1_ug_ul,86605.53,866342.6,217068.11,273741.7,0.0,0.0,2643604.5,37722.453,839019.94,10168129.0,2710532.2,8552626.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p0078_ug_ul,0.0,24028.734,536812.1,0.0,20616.293,0.0,5917613.5,0.0,536491.4,276076.2,6659346.0,6609330.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p0156_ug_ul,0.0,82070.47,353843.38,67433.5,33028.266,0.0,4384283.5,0.0,1220984.1,411369.25,6153173.5,12934947.0
